Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1337,"D. Chelton, R. Deszoeke, M. Schlax, K. Naggar, Nicolas Siwertz",Geographical Variability of the First Baroclinic Rossby Radius of Deformation,1998,Journal of Physical Oceanography,,https://www.semanticscholar.org/paper/73568c613d03075ec1767e91e78b4abbba8d556e,,1,2025-03-26 09:33:41,JournalArticle,10.1175/1520-0485(1998)028<0433:GVOTFB>2.0.CO;2,,,28.0,,433.0,460.0,1337,49.52,267,5,27,,https://journals.ametsoc.org/downloadpdf/journals/phoc/28/3/1520-0485_1998_028_0433_gvotfb_2.0.co_2.pdf,
1302,R Alicki,Decoherence and the Appearance of a Classical World in Quantum Theory,2004,Journal of Physics A: Mathematical and General,,https://www.semanticscholar.org/paper/402e3dc6f5dd9e0ec8de11e085d6b66ade4df1a2,,2,2025-03-26 09:33:41,Review,10.1088/0305-4470/37/5/B02,,,37.0,,1948.0,1949.0,1302,62.0,1302,1,21,,,
967,"D. Shaffer, K. Squire, Richard Halverson, J. Gee",Video Games and the Future of Learning,2005,Phi Delta Kappan Magazine,,https://www.semanticscholar.org/paper/ccbf6ef59cf6ee09c3113fe0da9b478e34da1ff3,,3,2025-03-26 09:33:41,JournalArticle,10.1177/003172170508700205,,,87.0,,105.0,111.0,967,48.35,242,4,20,,,
921,"I. Newton, A. Shapiro",The Principia : Mathematical Principles of Natural Philosophy,2018,,,https://www.semanticscholar.org/paper/47336390e984b9946a5a1a57510f0da44ec7dff5,,4,2025-03-26 09:33:41,,10.1063/1.883005,,,,,,,921,131.57,461,2,7,,,
873,R. Baxter,Environmental Effects of Dams and Impoundments,1977,"Annual Review of Ecology, Evolution, and Systematics",,https://www.semanticscholar.org/paper/7ce7f5b1106fd5beb593c35017d0dfd92c8fda81,,5,2025-03-26 09:33:41,JournalArticle,10.1146/ANNUREV.ES.08.110177.001351,,,8.0,,255.0,283.0,873,18.19,873,1,48,,,
716,"L. Fu, Edward J. Christensen, C. Yamarone, M. Lefebvre, M. Dorrer, P. Escudier",TOPEX/POSEIDON mission overview,1994,Journal of Geophysical Research,,https://www.semanticscholar.org/paper/1979ee3a651c50a26fa382222008f3c79d5d3fad,,6,2025-03-26 09:33:41,Review,10.1029/94JC01761,,,99.0,,24369.0,24381.0,716,23.1,119,6,31,,,
702,"V. M. Tiwari, V. M. Tiwari, J. Wahr, S. Swenson","Dwindling groundwater resources in northern India, from satellite gravity observations",2009,Geophysical Research Letters,,https://www.semanticscholar.org/paper/57e0616c215b586b53545a65b0b8f27927829201,,7,2025-03-26 09:33:41,JournalArticle,10.1029/2009GL039401,,,36.0,,,,702,43.88,176,4,16,,,
601,"M. Rodell, Jianli Chen, H. Kato, J. Famiglietti, J. Nigro, C. Wilson",Estimating groundwater storage changes in the Mississippi River basin (USA) using GRACE,2007,Hydrogeology Journal,,https://www.semanticscholar.org/paper/87f80e0b8e642b011c783948f2b21facf2af2d1d,,8,2025-03-26 09:33:41,JournalArticle,10.1007/S10040-006-0103-7,,,15.0,,159.0,166.0,601,33.39,100,6,18,,https://escholarship.org/content/qt1qs6s67c/qt1qs6s67c.pdf?t=nucv6t,
485,E. Poisson,"Gravitational Waves, Volume 1: Theory and Experiments",2008,Classical and Quantum Gravity,,https://www.semanticscholar.org/paper/71a6dc0b6375612bb2d6f9b077b7d5f3f24ab12b,,9,2025-03-26 09:33:41,Review,10.1088/0264-9381/25/20/209002,,,25.0,,209002.0,,485,28.53,485,1,17,,,
384,"P. Landrigan, J. Stegeman, L. Fleming, D. Allemand, D. Anderson, L. Backer, F. Brucker-Davis, N. Chevalier, L. Corra, D. Czerucka, M. Bottein, B. Demeneix, M. Depledge, D. Deheyn, C. Dorman, P. Fénichel, Samantha Fisher, F. Gaill, F. Galgani, W. Gaze, L. Giuliano, P. Grandjean, M. E. Hahn, A. Hamdoun, P. Hess, Bret Judson, A. Laborde, J. Mcglade, Jenna Mu, A. Mustapha, M. Neira, R. Noble, M. Pedrotti, C. Reddy, J. Rocklöv, U. Scharler, Hariharan Shanmugam, G. Taghian, J. V. D. van de Water, L. Vezzulli, P. Weihe, A. Zeka, Hervé Raps, P. Rampal",Human Health and Ocean Pollution,2020,Annals of Global Health,,https://www.semanticscholar.org/paper/80d17026d31d2c4ba0e126620605ae631704aa98,,10,2025-03-26 09:33:41,Review,10.5334/aogh.2831,2214-9996,,86.0,,,,384,76.8,38,44,5,"Background: Pollution – unwanted waste released to air, water, and land by human activity – is the largest environmental cause of disease in the world today. It is responsible for an estimated nine million premature deaths per year, enormous economic losses, erosion of human capital, and degradation of ecosystems. Ocean pollution is an important, but insufficiently recognized and inadequately controlled component of global pollution. It poses serious threats to human health and well-being. The nature and magnitude of these impacts are only beginning to be understood. Goals: (1) Broadly examine the known and potential impacts of ocean pollution on human health. (2) Inform policy makers, government leaders, international organizations, civil society, and the global public of these threats. (3) Propose priorities for interventions to control and prevent pollution of the seas and safeguard human health. Methods: Topic-focused reviews that examine the effects of ocean pollution on human health, identify gaps in knowledge, project future trends, and offer evidence-based guidance for effective intervention. Environmental Findings: Pollution of the oceans is widespread, worsening, and in most countries poorly controlled. It is a complex mixture of toxic metals, plastics, manufactured chemicals, petroleum, urban and industrial wastes, pesticides, fertilizers, pharmaceutical chemicals, agricultural runoff, and sewage. More than 80% arises from land-based sources. It reaches the oceans through rivers, runoff, atmospheric deposition and direct discharges. It is often heaviest near the coasts and most highly concentrated along the coasts of low- and middle-income countries. Plastic is a rapidly increasing and highly visible component of ocean pollution, and an estimated 10 million metric tons of plastic waste enter the seas each year. Mercury is the metal pollutant of greatest concern in the oceans; it is released from two main sources – coal combustion and small-scale gold mining. Global spread of industrialized agriculture with increasing use of chemical fertilizer leads to extension of Harmful Algal Blooms (HABs) to previously unaffected regions. Chemical pollutants are ubiquitous and contaminate seas and marine organisms from the high Arctic to the abyssal depths. Ecosystem Findings: Ocean pollution has multiple negative impacts on marine ecosystems, and these impacts are exacerbated by global climate change. Petroleum-based pollutants reduce photosynthesis in marine microorganisms that generate oxygen. Increasing absorption of carbon dioxide into the seas causes ocean acidification, which destroys coral reefs, impairs shellfish development, dissolves calcium-containing microorganisms at the base of the marine food web, and increases the toxicity of some pollutants. Plastic pollution threatens marine mammals, fish, and seabirds and accumulates in large mid-ocean gyres. It breaks down into microplastic and nanoplastic particles containing multiple manufactured chemicals that can enter the tissues of marine organisms, including species consumed by humans. Industrial releases, runoff, and sewage increase frequency and severity of HABs, bacterial pollution, and anti-microbial resistance. Pollution and sea surface warming are triggering poleward migration of dangerous pathogens such as the Vibrio species. Industrial discharges, pharmaceutical wastes, pesticides, and sewage contribute to global declines in fish stocks. Human Health Findings: Methylmercury and PCBs are the ocean pollutants whose human health effects are best understood. Exposures of infants in utero to these pollutants through maternal consumption of contaminated seafood can damage developing brains, reduce IQ and increase children’s risks for autism, ADHD and learning disorders. Adult exposures to methylmercury increase risks for cardiovascular disease and dementia. Manufactured chemicals – phthalates, bisphenol A, flame retardants, and perfluorinated chemicals, many of them released into the seas from plastic waste – can disrupt endocrine signaling, reduce male fertility, damage the nervous system, and increase risk of cancer. HABs produce potent toxins that accumulate in fish and shellfish. When ingested, these toxins can cause severe neurological impairment and rapid death. HAB toxins can also become airborne and cause respiratory disease. Pathogenic marine bacteria cause gastrointestinal diseases and deep wound infections. With climate change and increasing pollution, risk is high that Vibrio infections, including cholera, will increase in frequency and extend to new areas. All of the health impacts of ocean pollution fall disproportionately on vulnerable populations in the Global South – environmental injustice on a planetary scale. Conclusions: Ocean pollution is a global problem. It arises from multiple sources and crosses national boundaries. It is the consequence of reckless, shortsighted, and unsustainable exploitation of the earth’s resources. It endangers marine ecosystems. It impedes the production of atmospheric oxygen. Its threats to human health are great and growing, but still incompletely understood. Its economic costs are only beginning to be counted. Ocean pollution can be prevented. Like all forms of pollution, ocean pollution can be controlled by deploying data-driven strategies based on law, policy, technology, and enforcement that target priority pollution sources. Many countries have used these tools to control air and water pollution and are now applying them to ocean pollution. Successes achieved to date demonstrate that broader control is feasible. Heavily polluted harbors have been cleaned, estuaries rejuvenated, and coral reefs restored. Prevention of ocean pollution creates many benefits. It boosts economies, increases tourism, helps restore fisheries, and improves human health and well-being. It advances the Sustainable Development Goals (SDG). These benefits will last for centuries. Recommendations: World leaders who recognize the gravity of ocean pollution, acknowledge its growing dangers, engage civil society and the global public, and take bold, evidence-based action to stop pollution at source will be critical to preventing ocean pollution and safeguarding human health. Prevention of pollution from land-based sources is key. Eliminating coal combustion and banning all uses of mercury will reduce mercury pollution. Bans on single-use plastic and better management of plastic waste reduce plastic pollution. Bans on persistent organic pollutants (POPs) have reduced pollution by PCBs and DDT. Control of industrial discharges, treatment of sewage, and reduced applications of fertilizers have mitigated coastal pollution and are reducing frequency of HABs. National, regional and international marine pollution control programs that are adequately funded and backed by strong enforcement have been shown to be effective. Robust monitoring is essential to track progress. Further interventions that hold great promise include wide-scale transition to renewable fuels; transition to a circular economy that creates little waste and focuses on equity rather than on endless growth; embracing the principles of green chemistry; and building scientific capacity in all countries. Designation of Marine Protected Areas (MPAs) will safeguard critical ecosystems, protect vulnerable fish stocks, and enhance human health and well-being. Creation of MPAs is an important manifestation of national and international commitment to protecting the health of the seas.",http://www.annalsofglobalhealth.org/articles/10.5334/aogh.2831/galley/3144/download/,
365,"A. Zang, O. Stephansson",Stress Field of the Earth's Crust,2010,,,https://www.semanticscholar.org/paper/89f9dbae15c83562691f3cfd4cc4cdb67e732b2c,,11,2025-03-26 09:33:41,,10.1007/978-1-4020-8444-7,,,,,,,365,24.33,183,2,15,,,
340,"J. Clarke, A. Braginski",Fundamentals and technology of SQUIDs and SQUID systems,2004,,,https://www.semanticscholar.org/paper/fb88f29d0ede93369af2e803b927bf61781197be,,12,2025-03-26 09:33:41,Review,10.1002/3527603646,,,,,,,340,16.19,170,2,21,,,
331,M. Leeder,Sedimentology and Sedimentary Basins: From Turbulence to Tectonics,1999,,,https://www.semanticscholar.org/paper/973da2dd9e92388f06281b13fd34c60d94dcb668,,13,2025-03-26 09:33:41,,,,,,,,,331,12.73,331,1,26,,,
324,"G. Balmino, N. Vales, S. Bonvalot, A. Briais",Spherical harmonic modelling to ultra-high degree of Bouguer and isostatic anomalies,2012,Journal of Geodesy,,https://www.semanticscholar.org/paper/659ee392a1999eb826787bee45f00ed49603318b,,14,2025-03-26 09:33:41,JournalArticle,10.1007/s00190-011-0533-4,0949-7714,,86.0,,499.0,520.0,324,24.92,81,4,13,,,
310,"S. Cande, J. Stock, R. Müller, T. Ishihara",Cenozoic motion between East and West Antarctica,2000,Nature,,https://www.semanticscholar.org/paper/89925e7a4a88c392c3e31b5d68e9b1f8baf6348d,,15,2025-03-26 09:33:41,JournalArticle,10.1038/35004501,0028-0836,,404.0,,145.0,150.0,310,12.4,78,4,25,,,
303,"K. Emery, E. Uchupi",The Geology of the Atlantic Ocean,1967,,,https://www.semanticscholar.org/paper/58c04feadeabb61b755d7d82ec682129d9bb3b09,,16,2025-03-26 09:33:41,Review,10.1007/978-1-4612-5278-8,,,,,,,303,5.22,152,2,58,,,
280,S. Vogel,Life's Devices: The Physical World of Animals and Plants,1988,,,https://www.semanticscholar.org/paper/63b50b3630b6582cf5a3c56d7445d196da35f23d,,17,2025-03-26 09:33:41,Review,,,,,,,,280,7.57,280,1,37,,,
258,"J. Famiglietti, M. Rodell",Water in the Balance,2013,Science,,https://www.semanticscholar.org/paper/45925dce7e972f2cab3685080d7e4391b2f0e337,,18,2025-03-26 09:33:41,JournalArticle,10.1126/science.1236460,0193-4511,,340.0,,1300.0,1301.0,258,21.5,129,2,12,,,
240,"R. Floberghagen, M. Fehringer, D. Lamarre, D. Muzi, B. Frommknecht, C. Steiger, J. Piñeiro, Andrea da Costa","Mission design, operation and exploitation of the gravity field and steady-state ocean circulation explorer mission",2011,Journal of Geodesy,,https://www.semanticscholar.org/paper/7e7b1825977bfd3eb9f4047a5e864736f870926b,,19,2025-03-26 09:33:41,JournalArticle,10.1007/S00190-011-0498-3,,,85.0,,749.0,758.0,240,17.14,30,8,14,,,
236,W. Hinze,The Utility of Regional Gravity and Magnetic Anomaly Maps,1985,,,https://www.semanticscholar.org/paper/67f1df3384cd4409e9ba73e8278e98ff574e7790,,20,2025-03-26 09:33:41,Review,10.1190/1.0931830346,,,,,,,236,5.9,236,1,40,,,
233,J. Coulomb,Sea Floor Spreading and Continental Drift,1972,,,https://www.semanticscholar.org/paper/61dd6de7c6a992437009fe66fc568a49709e8d58,,21,2025-03-26 09:33:41,,10.1007/978-94-010-2899-8,,,,,,,233,4.4,233,1,53,,,
222,R. Angel,Feasibility of cooling the Earth with a cloud of small spacecraft near the inner Lagrange point (L1),2006,Proceedings of the National Academy of Sciences,,https://www.semanticscholar.org/paper/6548a7a08464371d11ee5d35ea3dc7dfeb838c32,,22,2025-03-26 09:33:41,JournalArticle,10.1073/pnas.0608163103,0027-8424,,103.0,,17184.0,17189.0,222,11.68,222,1,19,,https://europepmc.org/articles/pmc1859907?pdf=render,
193,"D. Aveline, Jason R. Williams, E. Elliott, Chelsea Dutenhoffer, J. Kellogg, J. Kohel, Norman E. Lay, K. Oudrhiri, R. Shotwell, N. Yu, R. Thompson",Observation of Bose–Einstein condensates in an Earth-orbiting research lab,2020,Nature,,https://www.semanticscholar.org/paper/9bcd81940664f9c8b07b9448c4b115cbf145df30,,23,2025-03-26 09:33:41,JournalArticle,10.1038/s41586-020-2346-1,0028-0836,,582.0,,193.0,197.0,193,38.6,19,11,5,,,
185,"K. Virts, J. Wallace, M. Hutchins, R. Holzworth","Highlights of a New Ground-Based, Hourly Global Lightning Climatology",2012,Bulletin of the American Meteorological Society,,https://www.semanticscholar.org/paper/55bdb899f0f70d7944b6557762e1bb887b9ea720,,24,2025-03-26 09:33:41,JournalArticle,10.1175/BAMS-D-12-00082.1,,,94.0,,1381.0,1391.0,185,14.23,46,4,13,,https://journals.ametsoc.org/downloadpdf/journals/bams/94/9/bams-d-12-00082.1.pdf,
180,"B. Sperner, Birgit Müller, O. Heidbach, Damien Delvaux, J. Reinecker, Karl Fuchs",Tectonic stress in the Earth’s crust: advances in the World Stress Map project,2003,"Geological Society, London, Special Publications",,https://www.semanticscholar.org/paper/a464bb25b5cc1251a2e04bc61907399ef33d6856,,25,2025-03-26 09:33:41,JournalArticle,10.1144/GSL.SP.2003.212.01.07,0305-8719,,212.0,,101.0,116.0,180,8.18,30,6,22,,,
176,D. Quah,The Global Economy’s Shifting Centre of Gravity,2011,Global Policy,,https://www.semanticscholar.org/paper/de44681889fdc99df6c0c9f702a7107124aa31b9,,26,2025-03-26 09:33:41,JournalArticle,10.1111/J.1758-5899.2010.00066.X,,,2.0,,3.0,9.0,176,12.57,176,1,14,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1758-5899.2010.00066.x,
167,"R. Lorenz, E. Turtle, J. Barnes, Melissa G. Trainer, D. Adams, K. Hibbard, C. Sheldon, K. Zacny, P. Peplowski, D. Lawrence, M. Ravine, T. McGee, K. Sotzen, S. MacKenzie, J. Langelaan, S. Schmitz, L. Wolfarth, P. Bedini",Dragonfly: A rotorcraft lander concept for scientific exploration at titan,2018,,,https://www.semanticscholar.org/paper/a4680f7470b5cb45924c191ff06646cdb0f57297,,27,2025-03-26 09:33:41,,,,,34.0,,374.0,387.0,167,23.86,17,18,7,,,
165,"B. Wouters, A. Gardner, G. Moholdt",Global Glacier Mass Loss During the GRACE Satellite Mission (2002-2016),2019,Frontiers in Earth Science,,https://www.semanticscholar.org/paper/5a5baed6da1c39631962c2595ff951585535e216,,28,2025-03-26 09:33:41,Review,10.3389/feart.2019.00096,2296-6463,,,,,,165,27.5,55,3,6,"Glaciers outside of the ice sheets are known to be important contributors to sea level rise. In this work, we provide an overview of changes in the mass of the world's glaciers, excluding those in Greenland and Antarctica, between 2002 and 2016, based on satellite gravimetry observations of the Gravity Recovery and Climate Experiment (GRACE). Glaciers lost mass at a rate of 199 ± 32 Gt yr −1 during this 14-yr period, equivalent to a cumulative sea level contribution of 8 mm. We present annual mass balances for 17 glacier regions, that show a qualitatively good agreement with published estimates from in situ observations. We find that annual mass balance varies considerably from year to year, which can in part be attributed to changes in the large-scale circulation of the atmosphere. These variations, combined with the relatively short observational record, hamper the detection of acceleration of glacier mass loss. Our study highlights the need for continued observations of the Earth's glacierized regions.",https://www.frontiersin.org/articles/10.3389/feart.2019.00096/pdf,
158,"C. Wright, N. Hindley, M. Alexander, M. Barlow, L. Hoffmann, C. Mitchell, F. Prata, Marie Bouillon, J. Carstens, C. Clerbaux, S. Osprey, Nick Powell, C. Randall, J. Yue",Surface-to-space atmospheric waves from Hunga Tonga–Hunga Ha’apai eruption,2022,Nature,,https://www.semanticscholar.org/paper/c1b6f90fe06f4623dae6a4dd89419a565b9491cb,,29,2025-03-26 09:33:41,JournalArticle,10.1038/s41586-022-05012-5,0028-0836,,609.0,,741.0,746.0,158,52.67,16,14,3,,https://www.nature.com/articles/s41586-022-05012-5.pdf,
157,"L. Russo, S. Levy",The Forgotten Revolution: How Science Was Born in 300 BC and Why it Had to Be Reborn,2004,,,https://www.semanticscholar.org/paper/8243958c01976e04a6bc46d7900545e0883b9d6b,,30,2025-03-26 09:33:41,,10.5860/choice.41-6500,,,,,,,157,7.48,79,2,21,,,
