Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2296,"M. Bui, C. Adjiman, A. Bardow, E. Anthony, A. Boston, Solomon F. Brown, P. Fennell, S. Fuss, A. Galindo, Leigh A. Hackett, J. Hallett, H. Herzog, G. Jackson, J. Kemper, S. Krevor, G. Maitland, M. Matuszewski, I. Metcalfe, C. Petit, G. Puxty, J. Reimer, D. Reiner, E. Rubin, S. Scott, N. Shah, B. Smit, B. Smit, J. Trusler, P. Webley, J. Wilcox, N. M. Dowell",Carbon capture and storage (CCS): the way forward,2018,Energy and Environmental Science,,https://www.semanticscholar.org/paper/c993199ce1768b415fc58ec26f066468be20257a,,33,2025-03-27 03:45:11,Review,10.1039/C7EE02342A,,,11.0,,1062.0,1176.0,2296,328.0,230,31,7,"Carbon capture and storage (CCS) is broadly recognised as having the potential to play a key role in meeting climate change targets, delivering low carbon heat and power, decarbonising industry and, more recently, its ability to facilitate the net removal of CO2 from the atmosphere. However, despite this broad consensus and its technical maturity, CCS has not yet been deployed on a scale commensurate with the ambitions articulated a decade ago. Thus, in this paper we review the current state-of-the-art of CO2 capture, transport, utilisation and storage from a multi-scale perspective, moving from the global to molecular scales. In light of the COP21 commitments to limit warming to less than 2 °C, we extend the remit of this study to include the key negative emissions technologies (NETs) of bioenergy with CCS (BECCS), and direct air capture (DAC). Cognisant of the non-technical barriers to deploying CCS, we reflect on recent experience from the UK's CCS commercialisation programme and consider the commercial and political barriers to the large-scale deployment of CCS. In all areas, we focus on identifying and clearly articulating the key research challenges that could usefully be addressed in the coming decade.",https://pubs.rsc.org/en/content/articlepdf/2018/ee/c7ee02342a,
2266,"M. Saunois, A. Stavert, B. Poulter, P. Bousquet, J. Canadell, R. Jackson, P. Raymond, E. Dlugokencky, S. Houweling, P. Patra, P. Ciais, V. Arora, D. Bastviken, P. Bergamaschi, D. Blake, G. Brailsford, L. Bruhwiler, K. Carlson, M. Carrol, S. Castaldi, N. Chandra, C. Crevoisier, P. Crill, K. Covey, C. Curry, G. Etiope, C. Frankenberg, N. Gedney, M. Hegglin, L. Höglund-Isaksson, G. Hugelius, M. Ishizawa, A. Ito, G. Janssens‑Maenhout, K. Jensen, F. Joos, T. Kleinen, P. Krummel, R. Langenfelds, G. Laruelle, Licheng Liu, T. Machida, Shamil Maksyutov, K. McDonald, J. McNorton, P. Miller, J. Melton, I. Morino, Jurek Müller, F. Murguía-Flores, V. Naik, Y. Niwa, S. Noce, S. O'Doherty, R. Parker, C. Peng, S. Peng, G. Peters, C. Prigent, R. Prinn, M. Ramonet, P. Régnier, W. Riley, J. Rosentreter, A. Segers, I. Simpson, Hao Shi, Steven J. Smith, L. Steele, B. Thornton, H. Tian, Y. Tohjima, F. Tubiello, A. Tsuruta, N. Viovy, A. Voulgarakis, Thomas S. Weber, M. van Weele, G. R. van der Werf, R. Weiss, D. Worthy, D. Wunch, Y. Yin, Y. Yoshida, Wenxing Zhang, Zhen Zhang, Yuanhong Zhao, Bo-Yan Zheng, Q. Zhu, Qiu'an Zhu, Q. Zhuang",The Global Methane Budget 2000–2017,2016,Earth System Science Data,,https://www.semanticscholar.org/paper/4be3d2471987b7c1d9399b2dc021b5df5489d039,,36,2025-03-27 03:45:11,Review,10.5194/ESSD-8-697-2016,1866-3508,,,,,,2266,251.78,227,91,9,"Abstract. Understanding and quantifying the global methane (CH4) budget is important for assessing realistic pathways to mitigate climate change. Atmospheric emissions and concentrations of CH4 continue to increase, making CH4 the second most important human-influenced greenhouse gas in terms of climate forcing, after carbon dioxide (CO2). The relative importance of CH4 compared to CO2 depends on its shorter atmospheric lifetime, stronger warming potential, and variations in atmospheric growth rate over the past decade, the causes of which are still debated. Two major challenges in reducing uncertainties in the atmospheric growth rate arise from the variety of geographically overlapping CH4 sources and from the destruction of CH4 by short-lived hydroxyl radicals (OH). To address these challenges, we have established a consortium of multidisciplinary scientists under the umbrella of the Global Carbon Project to synthesize and stimulate new research aimed at improving and regularly updating the global methane budget. Following Saunois et al. (2016), we present here the second version of the living review paper dedicated to the decadal methane budget, integrating results of top-down studies (atmospheric observations within an atmospheric inverse-modelling framework) and bottom-up estimates (including process-based models for estimating land surface emissions and atmospheric chemistry, inventories of anthropogenic emissions, and data-driven extrapolations). For the 2008–2017 decade, global methane emissions are estimated by atmospheric inversions (a top-down approach) to be 576 Tg CH4 yr−1 (range 550–594, corresponding to the minimum and maximum estimates of the model ensemble). Of this total, 359 Tg CH4 yr−1 or ∼ 60 % is attributed to anthropogenic sources, that is emissions caused by direct human activity (i.e. anthropogenic emissions; range 336–376 Tg CH4 yr−1 or 50 %–65 %). The mean annual total emission for the new decade (2008–2017) is 29 Tg CH4 yr−1 larger than our estimate for the previous decade (2000–2009), and 24 Tg CH4 yr−1 larger than the one reported in the previous budget for 2003–2012 (Saunois et al., 2016). Since 2012, global CH4 emissions have been tracking the warmest scenarios assessed by the Intergovernmental Panel on Climate Change. Bottom-up methods suggest almost 30 % larger global emissions (737 Tg CH4 yr−1, range 594–881) than top-down inversion methods. Indeed, bottom-up estimates for natural sources such as natural wetlands, other inland water systems, and geological sources are higher than top-down estimates. The atmospheric constraints on the top-down budget suggest that at least some of these bottom-up emissions are overestimated. The latitudinal distribution of atmospheric observation-based emissions indicates a predominance of tropical emissions (∼ 65 % of the global budget, < 30∘ N) compared to mid-latitudes (∼ 30 %, 30–60∘ N) and high northern latitudes (∼ 4 %, 60–90∘ N). The most important source of uncertainty in the methane budget is attributable to natural emissions, especially those from wetlands and other inland waters. Some of our global source estimates are smaller than those in previously published budgets (Saunois et al., 2016; Kirschke et al., 2013). In particular wetland emissions are about 35 Tg CH4 yr−1 lower due to improved partition wetlands and other inland waters. Emissions from geological sources and wild animals are also found to be smaller by 7 Tg CH4 yr−1 by 8 Tg CH4 yr−1, respectively. However, the overall discrepancy between bottom-up and top-down estimates has been reduced by only 5 % compared to Saunois et al. (2016), due to a higher estimate of emissions from inland waters, highlighting the need for more detailed research on emissions factors. Priorities for improving the methane budget include (i) a global, high-resolution map of water-saturated soils and inundated areas emitting methane based on a robust classification of different types of emitting habitats; (ii) further development of process-based models for inland-water emissions; (iii) intensification of methane observations at local scales (e.g., FLUXNET-CH4 measurements) and urban-scale monitoring to constrain bottom-up land surface models, and at regional scales (surface networks and satellites) to constrain atmospheric inversions; (iv) improvements of transport models and the representation of photochemical sinks in top-down inversions; and (v) development of a 3D variational inversion system using isotopic and/or co-emitted species such as ethane to improve source partitioning. The data presented here can be downloaded from https://doi.org/10.18160/GCP-CH4-2019 (Saunois et al., 2020) and from the Global Carbon Project.",https://essd.copernicus.org/articles/12/1561/2020/essd-12-1561-2020.pdf,
2084,"D. Lobell, C. Field",Global scale climate–crop yield relationships and the impacts of recent warming,2007,Environmental Research Letters,,https://www.semanticscholar.org/paper/cab0ee490222d55d4392f0489f6d1785bf463aab,,45,2025-03-27 03:45:11,JournalArticle,10.1088/1748-9326/2/1/014002,1748-9326,,2.0,,14002.0,,2084,115.78,1042,2,18,"Changes in the global production of major crops are important drivers of food prices, food security and land use decisions. Average global yields for these commodities are determined by the performance of crops in millions of fields distributed across a range of management, soil and climate regimes. Despite the complexity of global food supply, here we show that simple measures of growing season temperatures and precipitation—spatial averages based on the locations of each crop—explain ∼30% or more of year-to-year variations in global average yields for the world’s six most widely grown crops. For wheat, maize and barley, there is a clearly negative response of global yields to increased temperatures. Based on these sensitivities and observed climate trends, we estimate that warming since 1981 has resulted in annual combined losses of these three crops representing roughly 40 Mt or $5 billion per year, as of 2002. While these impacts are small relative to the technological yield gains over the same period, the results demonstrate already occurring negative impacts of climate trends on crop yields at the global scale.",https://doi.org/10.1088/1748-9326/2/1/014002,
2077,"W. Steffen, J. Rockström, K. Richardson, T. Lenton, C. Folke, D. Liverman, C. Summerhayes, A. Barnosky, S. Cornell, M. Crucifix, J. Donges, I. Fetzer, S. Lade, M. Scheffer, R. Winkelmann, H. Schellnhuber",Trajectories of the Earth System in the Anthropocene,2018,Proceedings of the National Academy of Sciences of the United States of America,,https://www.semanticscholar.org/paper/e39d8c18ef28ac627799e8a97a7d2a844a96d2ad,,46,2025-03-27 03:45:11,JournalArticle,10.1073/pnas.1810141115,0027-8424,,115.0,,8252.0,8259.0,2077,296.71,208,16,7,"We explore the risk that self-reinforcing feedbacks could push the Earth System toward a planetary threshold that, if crossed, could prevent stabilization of the climate at intermediate temperature rises and cause continued warming on a “Hothouse Earth” pathway even as human emissions are reduced. Crossing the threshold would lead to a much higher global average temperature than any interglacial in the past 1.2 million years and to sea levels significantly higher than at any time in the Holocene. We examine the evidence that such a threshold might exist and where it might be. If the threshold is crossed, the resulting trajectory would likely cause serious disruptions to ecosystems, society, and economies. Collective human action is required to steer the Earth System away from a potential threshold and stabilize it in a habitable interglacial-like state. Such action entails stewardship of the entire Earth System—biosphere, climate, and societies—and could include decarbonization of the global economy, enhancement of biosphere carbon sinks, behavioral changes, technological innovations, new governance arrangements, and transformed social values.",https://www.pnas.org/content/pnas/115/33/8252.full.pdf,
1976,"D. Breitburg, L. A. Levin, A. Oschlies, M. Grégoire, Francisco P. Chavez, Daniel J. Conley, V. Garçon, D. Gilbert, D. Gutiérrez, K. Isensee, Gil S. Jacinto, K. Limburg, I. Montes, S. W. A. Naqvi, G. Pitcher, N. Rabalais, Michaël Roman, Kenneth A. Rose, Brad A. Seibel, M. Telszewski, M. Yasuhara, Jing Zhang",Declining oxygen in the global ocean and coastal waters,2018,Science,,https://www.semanticscholar.org/paper/7dec10a625b87799fc96bd3dd5458494e025b764,,51,2025-03-27 03:45:11,Review,10.1126/science.aam7240,0193-4511,,359.0,,,,1976,282.29,198,22,7,"Beneath the waves, oxygen disappears As plastic waste pollutes the oceans and fish stocks decline, unseen below the surface another problem grows: deoxygenation. Breitburg et al. review the evidence for the downward trajectory of oxygen levels in increasing areas of the open ocean and coastal waters. Rising nutrient loads coupled with climate change—each resulting from human activities—are changing ocean biogeochemistry and increasing oxygen consumption. This results in destabilization of sediments and fundamental shifts in the availability of key nutrients. In the short term, some compensatory effects may result in improvements in local fisheries, such as in cases where stocks are squeezed between the surface and elevated oxygen minimum zones. In the longer term, these conditions are unsustainable and may result in ecosystem collapses, which ultimately will cause societal and economic harm. Science, this issue p. eaam7240 BACKGROUND Oxygen concentrations in both the open ocean and coastal waters have been declining since at least the middle of the 20th century. This oxygen loss, or deoxygenation, is one of the most important changes occurring in an ocean increasingly modified by human activities that have raised temperatures, CO2 levels, and nutrient inputs and have altered the abundances and distributions of marine species. Oxygen is fundamental to biological and biogeochemical processes in the ocean. Its decline can cause major changes in ocean productivity, biodiversity, and biogeochemical cycles. Analyses of direct measurements at sites around the world indicate that oxygen-minimum zones in the open ocean have expanded by several million square kilometers and that hundreds of coastal sites now have oxygen concentrations low enough to limit the distribution and abundance of animal populations and alter the cycling of important nutrients. ADVANCES In the open ocean, global warming, which is primarily caused by increased greenhouse gas emissions, is considered the primary cause of ongoing deoxygenation. Numerical models project further oxygen declines during the 21st century, even with ambitious emission reductions. Rising global temperatures decrease oxygen solubility in water, increase the rate of oxygen consumption via respiration, and are predicted to reduce the introduction of oxygen from the atmosphere and surface waters into the ocean interior by increasing stratification and weakening ocean overturning circulation. In estuaries and other coastal systems strongly influenced by their watershed, oxygen declines have been caused by increased loadings of nutrients (nitrogen and phosphorus) and organic matter, primarily from agriculture; sewage; and the combustion of fossil fuels. In many regions, further increases in nitrogen discharges to coastal waters are projected as human populations and agricultural production rise. Climate change exacerbates oxygen decline in coastal systems through similar mechanisms as those in the open ocean, as well as by increasing nutrient delivery from watersheds that will experience increased precipitation. Expansion of low-oxygen zones can increase production of N2O, a potent greenhouse gas; reduce eukaryote biodiversity; alter the structure of food webs; and negatively affect food security and livelihoods. Both acidification and increasing temperature are mechanistically linked with the process of deoxygenation and combine with low-oxygen conditions to affect biogeochemical, physiological, and ecological processes. However, an important paradox to consider in predicting large-scale effects of future deoxygenation is that high levels of productivity in nutrient-enriched coastal systems and upwelling areas associated with oxygen-minimum zones also support some of the world’s most prolific fisheries. OUTLOOK Major advances have been made toward understanding patterns, drivers, and consequences of ocean deoxygenation, but there is a need to improve predictions at large spatial and temporal scales important to ecosystem services provided by the ocean. Improved numerical models of oceanographic processes that control oxygen depletion and the large-scale influence of altered biogeochemical cycles are needed to better predict the magnitude and spatial patterns of deoxygenation in the open ocean, as well as feedbacks to climate. Developing and verifying the next generation of these models will require increased in situ observations and improved mechanistic understanding on a variety of scales. Models useful for managing nutrient loads can simulate oxygen loss in coastal waters with some skill, but their ability to project future oxygen loss is often hampered by insufficient data and climate model projections on drivers at appropriate temporal and spatial scales. Predicting deoxygenation-induced changes in ecosystem services and human welfare requires scaling effects that are measured on individual organisms to populations, food webs, and fisheries stocks; considering combined effects of deoxygenation and other ocean stressors; and placing an increased research emphasis on developing nations. Reducing the impacts of other stressors may provide some protection to species negatively affected by low-oxygen conditions. Ultimately, though, limiting deoxygenation and its negative effects will necessitate a substantial global decrease in greenhouse gas emissions, as well as reductions in nutrient discharges to coastal waters. Low and declining oxygen levels in the open ocean and coastal waters affect processes ranging from biogeochemistry to food security. The global map indicates coastal sites where anthropogenic nutrients have exacerbated or caused O2 declines to <2 mg liter−1 (<63 μmol liter−1) (red dots), as well as ocean oxygen-minimum zones at 300 m of depth (blue shaded regions). [Map created from data provided by R. Diaz, updated by members of the GO2NE network, and downloaded from the World Ocean Atlas 2009]. Oxygen is fundamental to life. Not only is it essential for the survival of individual animals, but it regulates global cycles of major nutrients and carbon. The oxygen content of the open ocean and coastal waters has been declining for at least the past half-century, largely because of human activities that have increased global temperatures and nutrients discharged to coastal waters. These changes have accelerated consumption of oxygen by microbial respiration, reduced solubility of oxygen in water, and reduced the rate of oxygen resupply from the atmosphere to the ocean interior, with a wide range of biological and ecological consequences. Further research is needed to understand and predict long-term, global- and regional-scale oxygen changes and their effects on marine and estuarine fisheries and ecosystems.",https://science.sciencemag.org/content/sci/359/6371/eaam7240.full.pdf,
1519,"M. Giorgetta, J. Jungclaus, C. Reick, S. Legutke, J. Bader, M. Böttinger, V. Brovkin, T. Crueger, M. Esch, K. Fieg, Ksenia Glushak, V. Gayler, H. Haak, H. Hollweg, T. Ilyina, S. Kinne, L. Kornblueh, D. Matei, T. Mauritsen, U. Mikolajewicz, W. Mueller, D. Notz, F. Pithan, T. Raddatz, S. Rast, R. Redler, E. Roeckner, H. Schmidt, R. Schnur, J. Segschneider, K. Six, M. Stockhause, C. Timmreck, J. Wegner, H. Widmann, Karl-Hermann Wieners, M. Claussen, J. Marotzke, B. Stevens",Climate and carbon cycle changes from 1850 to 2100 in MPI‐ESM simulations for the Coupled Model Intercomparison Project phase 5,2013,Journal of Advances in Modeling Earth Systems,,https://www.semanticscholar.org/paper/79b1d1fad2ed63b222cf399617e8667d334205ce,,81,2025-03-27 03:45:11,Review,10.1002/jame.20038,,,5.0,,572.0,597.0,1519,126.58,152,39,12,"The new Max‐Planck‐Institute Earth System Model (MPI‐ESM) is used in the Coupled Model Intercomparison Project phase 5 (CMIP5) in a series of climate change experiments for either idealized CO2‐only forcing or forcings based on observations and the Representative Concentration Pathway (RCP) scenarios. The paper gives an overview of the model configurations, experiments related forcings, and initialization procedures and presents results for the simulated changes in climate and carbon cycle. It is found that the climate feedback depends on the global warming and possibly the forcing history. The global warming from climatological 1850 conditions to 2080–2100 ranges from 1.5°C under the RCP2.6 scenario to 4.4°C under the RCP8.5 scenario. Over this range, the patterns of temperature and precipitation change are nearly independent of the global warming. The model shows a tendency to reduce the ocean heat uptake efficiency toward a warmer climate, and hence acceleration in warming in the later years. The precipitation sensitivity can be as high as 2.5% K−1 if the CO2 concentration is constant, or as small as 1.6% K−1, if the CO2 concentration is increasing. The oceanic uptake of anthropogenic carbon increases over time in all scenarios, being smallest in the experiment forced by RCP2.6 and largest in that for RCP8.5. The land also serves as a net carbon sink in all scenarios, predominantly in boreal regions. The strong tropical carbon sources found in the RCP2.6 and RCP8.5 experiments are almost absent in the RCP4.5 experiment, which can be explained by reforestation in the RCP4.5 scenario.",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jame.20038,
1450,"C. Bita, T. Gerats",Plant tolerance to high temperature in a changing environment: scientific fundamentals and production of heat stress-tolerant crops,2013,Frontiers in Plant Science,,https://www.semanticscholar.org/paper/fbed4ffb3382577bae17088b53a2a53fc500119b,,93,2025-03-27 03:45:11,JournalArticle,10.3389/fpls.2013.00273,1664-462X,,4.0,,,,1450,120.83,725,2,12,"Global warming is predicted to have a general negative effect on plant growth due to the damaging effect of high temperatures on plant development. The increasing threat of climatological extremes including very high temperatures might lead to catastrophic loss of crop productivity and result in wide spread famine. In this review, we assess the impact of global climate change on the agricultural crop production. There is a differential effect of climate change both in terms of geographic location and the crops that will likely show the most extreme reductions in yield as a result of expected extreme fluctuations in temperature and global warming in general. High temperature stress has a wide range of effects on plants in terms of physiology, biochemistry and gene regulation pathways. However, strategies exist to crop improvement for heat stress tolerance. In this review, we present recent advances of research on all these levels of investigation and focus on potential leads that may help to understand more fully the mechanisms that make plants tolerant or susceptible to heat stress. Finally, we review possible procedures and methods which could lead to the generation of new varieties with sustainable yield production, in a world likely to be challenged both by increasing population, higher average temperatures and larger temperature fluctuations.",https://www.frontiersin.org/articles/10.3389/fpls.2013.00273/pdf,
1171,"H. Nakamura, A. Rubio, D. Tomanek, D. Merchin, K. Iakoubovskii",Future CO2 Emissions and Climate Change from Existing Energy Infrastructure,2010,Science,,https://www.semanticscholar.org/paper/db4c6a0618b42ae6cd4dfb0c62788516e2623e3a,,133,2025-03-27 03:45:11,JournalArticle,10.1126/science.1188566,0193-4511,,329.0,,1330.0,1333.0,1171,78.07,234,5,15,"What We're In For What would our climate future look like if we stopped building any new infrastructure that used fossil fuels? Davis et al. (p. 1330; see the Perspective by Hoffert) made the assumption that all existing infrastructure will be used until the end of its lifetime, after which it will be replaced by infrastructure that does not produce CO2. They then calculated the amount of additional CO2 that will be added to the atmosphere. The outcome is that the concentration of atmospheric CO2 would remain below 430 parts per million (ppm) (present levels are 390 ppm) and global mean temperatures would increase to 1.3°C above preindustrial values (about 0.5°C above present), well below current targets of 450 ppm and 2°C, respectively. Operation of current energy infrastructure through its projected lifetime would limit carbon dioxide increases to 10 percent. Slowing climate change requires overcoming inertia in political, technological, and geophysical systems. Of these, only geophysical warming commitment has been quantified. We estimated the commitment to future emissions and warming represented by existing carbon dioxide–emitting devices. We calculated cumulative future emissions of 496 (282 to 701 in lower- and upper-bounding scenarios) gigatonnes of CO2 from combustion of fossil fuels by existing infrastructure between 2010 and 2060, forcing mean warming of 1.3°C (1.1° to 1.4°C) above the pre-industrial era and atmospheric concentrations of CO2 less than 430 parts per million. Because these conditions would likely avoid many key impacts of climate change, we conclude that sources of the most threatening emissions have yet to be built. However, CO2-emitting infrastructure will expand unless extraordinary efforts are undertaken to develop alternatives.",https://escholarship.org/content/qt45b3k4t0/qt45b3k4t0.pdf?t=nqelkp,
1079,"S. Hempel, K. Frieler, L. Warszawski, J. Schewe, F. Piontek",A trend-preserving bias correction – the ISI-MIP approach,2013,Earth System Dynamics Discussions,,https://www.semanticscholar.org/paper/a94b4d1e64933442d1fd8e04208589403f20a4b9,,160,2025-03-27 03:45:11,JournalArticle,10.5194/ESD-4-219-2013,,,4.0,,219.0,236.0,1079,89.92,216,5,12,"Abstract. Statistical bias correction is commonly applied within climate impact modelling to correct climate model data for systematic deviations of the simulated historical data from observations. Methods are based on transfer functions generated to map the distribution of the simulated historical data to that of the observations. Those are subsequently applied to correct the future projections. Here, we present the bias correction method that was developed within ISI-MIP, the first Inter-Sectoral Impact Model Intercomparison Project. ISI-MIP is designed to synthesise impact projections in the agriculture, water, biome, health, and infrastructure sectors at different levels of global warming. Bias-corrected climate data that are used as input for the impact simulations could be only provided over land areas. To ensure consistency with the global (land + ocean) temperature information the bias correction method has to preserve the warming signal. Here we present the applied method that preserves the absolute changes in monthly temperature, and relative changes in monthly values of precipitation and the other variables needed for ISI-MIP. The proposed methodology represents a modification of the transfer function approach applied in the Water Model Intercomparison Project (Water-MIP). Correction of the monthly mean is followed by correction of the daily variability about the monthly mean. Besides the general idea and technical details of the ISI-MIP method, we show and discuss the potential and limitations of the applied bias correction. In particular, while the trend and the long-term mean are well represented, limitations with regards to the adjustment of the variability persist which may affect, e.g. small scale features or extremes.",https://esd.copernicus.org/articles/4/219/2013/esd-4-219-2013.pdf,
1045,"N. Rabalais, R. Díaz, L. Levin, R. Turner, D. Gilbert, Jing Zhang",Dynamics and distribution of natural and human-caused hypoxia,2010,Biogeosciences,,https://www.semanticscholar.org/paper/29749d99b85fa9fae702e2604f35426c46b6b895,,169,2025-03-27 03:45:11,JournalArticle,10.5194/BG-7-585-2010,,,7.0,,585.0,619.0,1045,69.67,174,6,15,"Abstract. Water masses can become undersaturated with oxygen when natural processes alone or in combination with anthropogenic processes produce enough organic carbon that is aerobically decomposed faster than the rate of oxygen re-aeration. The dominant natural processes usually involved are photosynthetic carbon production and microbial respiration. The re-supply rate is indirectly related to its isolation from the surface layer. Hypoxic water masses ( Hypoxia development and continuation in many areas of the world's coastal ocean is accelerated by human activities, especially where nutrient loading increased in the Anthropocene. This higher loading set in motion a cascading set of events related to eutrophication. The formation of hypoxic areas has been exacerbated by any combination of interactions that increase primary production and accumulation of organic carbon leading to increased respiratory demand for oxygen below a seasonal or permanent pycnocline. Nutrient loading is likely to increase further as population growth and resource intensification rises, especially with increased dependency on crops using fertilizers, burning of fossil fuels, urbanization, and waste water generation. It is likely that the occurrence and persistence of hypoxia will be even more widespread and have more impacts than presently observed. Global climate change will further complicate the causative factors in both natural and human-caused hypoxia. The likelihood of strengthened stratification alone, from increased surface water temperature as the global climate warms, is sufficient to worsen hypoxia where it currently exists and facilitate its formation in additional waters. Increased precipitation that increases freshwater discharge and flux of nutrients will result in increased primary production in the receiving waters up to a point. The interplay of increased nutrients and stratification where they occur will aggravate and accelerate hypoxia. Changes in wind fields may expand oxygen minimum zones onto more continental shelf areas. On the other hand, not all regions will experience increased precipitation, some oceanic water temperatures may decrease as currents shift, and frequency and severity of tropical storms may increase and temporarily disrupt hypoxia more often. The consequences of global warming and climate change are effectively uncontrollable at least in the near term. On the other hand, the consequences of eutrophication-induced hypoxia can be reversed if long-term, broad-scale, and persistent efforts to reduce substantial nutrient loads are developed and implemented. In the face of globally expanding hypoxia, there is a need for water and resource managers to act now to reduce nutrient loads to maintain, at least, the current status.",https://bg.copernicus.org/articles/7/585/2010/bg-7-585-2010.pdf,
