Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1037,"R. Machado, R. Serralheiro",Soil Salinity: Effect on Vegetable Crop Growth. Management Practices to Prevent and Mitigate Soil Salinization,2017,Horticulturae,,https://www.semanticscholar.org/paper/f4019a267b5613b1140ef604959ce1ab83b524f6,,2,2025-03-24 12:23:19,Review,10.3390/HORTICULTURAE3020030,,,3.0,,30.0,,1037,129.63,519,2,8,"Salinity is a major problem affecting crop production all over the world: 20% of cultivated land in the world, and 33% of irrigated land, are salt-affected and degraded. This process can be accentuated by climate change, excessive use of groundwater (mainly if close to the sea), increasing use of low-quality water in irrigation, and massive introduction of irrigation associated with intensive farming. Excessive soil salinity reduces the productivity of many agricultural crops, including most vegetables, which are particularly sensitive throughout the ontogeny of the plant. The salinity threshold (ECt) of the majority of vegetable crops is low (ranging from 1 to 2.5 dS m−1 in saturated soil extracts) and vegetable salt tolerance decreases when saline water is used for irrigation. The objective of this review is to discuss the effects of salinity on vegetable growth and how management practices (irrigation, drainage, and fertilization) can prevent soil and water salinization and mitigate the adverse effects of salinity.",https://www.mdpi.com/2311-7524/3/2/30/pdf?version=1493884567,
665,"R. Sishodia, R. Ray, Sudhir Kumar Singh",Applications of Remote Sensing in Precision Agriculture: A Review,2020,Remote. Sens.,,https://www.semanticscholar.org/paper/2429ff978b9067efdc328d400b2241e5973cf44f,,9,2025-03-24 12:23:19,JournalArticle,10.3390/rs12193136,2315-4675,,12.0,,3136.0,,665,133.0,222,3,5,"Agriculture provides for the most basic needs of humankind: food and fiber. The introduction of new farming techniques in the past century (e.g., during the Green Revolution) has helped agriculture keep pace with growing demands for food and other agricultural products. However, further increases in food demand, a growing population, and rising income levels are likely to put additional strain on natural resources. With growing recognition of the negative impacts of agriculture on the environment, new techniques and approaches should be able to meet future food demands while maintaining or reducing the environmental footprint of agriculture. Emerging technologies, such as geospatial technologies, Internet of Things (IoT), Big Data analysis, and artificial intelligence (AI), could be utilized to make informed management decisions aimed to increase crop production. Precision agriculture (PA) entails the application of a suite of such technologies to optimize agricultural inputs to increase agricultural production and reduce input losses. Use of remote sensing technologies for PA has increased rapidly during the past few decades. The unprecedented availability of high resolution (spatial, spectral and temporal) satellite images has promoted the use of remote sensing in many PA applications, including crop monitoring, irrigation management, nutrient application, disease and pest management, and yield prediction. In this paper, we provide an overview of remote sensing systems, techniques, and vegetation indices along with their recent (2015–2020) applications in PA. Remote-sensing-based PA technologies such as variable fertilizer rate application technology in Green Seeker and Crop Circle have already been incorporated in commercial agriculture. Use of unmanned aerial vehicles (UAVs) has increased tremendously during the last decade due to their cost-effectiveness and flexibility in obtaining the high-resolution (cm-scale) images needed for PA applications. At the same time, the availability of a large amount of satellite data has prompted researchers to explore advanced data storage and processing techniques such as cloud computing and machine learning. Given the complexity of image processing and the amount of technical knowledge and expertise needed, it is critical to explore and develop a simple yet reliable workflow for the real-time application of remote sensing in PA. Development of accurate yet easy to use, user-friendly systems is likely to result in broader adoption of remote sensing technologies in commercial and non-commercial PA applications.",https://www.mdpi.com/2072-4292/12/19/3136/pdf?version=1602214473,
635,"M. Ayaz, Mohammad Ammad-Uddin, Zubair Sharif, A. Mansour, El-Hadi M. Aggoune",Internet-of-Things (IoT)-Based Smart Agriculture: Toward Making the Fields Talk,2019,IEEE Access,,https://www.semanticscholar.org/paper/67b23d81b79ce8789dbc62c9be436d8936e34020,,11,2025-03-24 12:23:19,JournalArticle,10.1109/ACCESS.2019.2932609,2169-3536,,7.0,,129551.0,129583.0,635,105.83,127,5,6,"Despite the perception people may have regarding the agricultural process, the reality is that today’s agriculture industry is data-centered, precise, and smarter than ever. The rapid emergence of the Internet-of-Things (IoT) based technologies redesigned almost every industry including “smart agriculture” which moved the industry from statistical to quantitative approaches. Such revolutionary changes are shaking the existing agriculture methods and creating new opportunities along a range of challenges. This article highlights the potential of wireless sensors and IoT in agriculture, as well as the challenges expected to be faced when integrating this technology with the traditional farming practices. IoT devices and communication techniques associated with wireless sensors encountered in agriculture applications are analyzed in detail. What sensors are available for specific agriculture application, like soil preparation, crop status, irrigation, insect and pest detection are listed. How this technology helping the growers throughout the crop stages, from sowing until harvesting, packing and transportation is explained. Furthermore, the use of unmanned aerial vehicles for crop surveillance and other favorable applications such as optimizing crop yield is considered in this article. State-of-the-art IoT-based architectures and platforms used in agriculture are also highlighted wherever suitable. Finally, based on this thorough review, we identify current and future trends of IoT in agriculture and highlight potential research challenges.",https://ieeexplore.ieee.org/ielx7/6287639/8600701/08784034.pdf,
531,"N. Mancosu, R. Snyder, G. Kyriakakis, D. Spanò",Water Scarcity and Future Challenges for Food Production,2015,Water,,https://www.semanticscholar.org/paper/f40d395c091b27fb02d6c658b5443f3c0cfd3fc8,,14,2025-03-24 12:23:19,Review,10.3390/W7030975,,,7.0,,975.0,992.0,531,53.1,133,4,10,"Present water shortage is one of the primary world issues, and according to climate change projections, it will be more critical in the future. Since water availability and accessibility are the most significant constraining factors for crop production, addressing this issue is indispensable for areas affected by water scarcity. Current and future issues related to “water scarcity” are reviewed in this paper so as to highlight the necessity of a more sustainable approach to water resource management. As a consequence of increasing water scarcity and drought, resulting from climate change, considerable water use for irrigation is expected to occur in the context of tough competition between agribusiness and other sectors of the economy. In addition, the estimated increment of the global population growth rate points out the inevitable increase of food demand in the future, with an immediate impact on farming water use. Since a noteworthy relationship exists between the water possessions of a country and the capacity for food production, assessing the irrigation needs is indispensable for water resource planning in order to meet food needs and avoid excessive water consumption.",https://www.mdpi.com/2073-4441/7/3/975/pdf?version=1433837794,
443,"Muhammad Abid, J. Scheffran, U. Schneider, Muhammad Ashfaq","Farmers' perceptions of and adaptation strategies to climate change and their determinants: the case of Punjab province, Pakistan",2014,Earth System Dynamics Discussions,,https://www.semanticscholar.org/paper/098dc63919f0989ef7ec84419ffb8e25a6f7b552,,19,2025-03-24 12:23:19,JournalArticle,10.5194/ESD-6-225-2015,,,6.0,,225.0,243.0,443,40.27,111,4,11,"Abstract. Climate change is a global environmental threat to all economic sectors, particularly the agricultural sector. Pakistan is one of the countries negatively affected by climate change due to its high exposure to extreme events and low adaptive capacity. In Pakistan, farmers are the primary stakeholders in agriculture and are more at risk due to climate vulnerability. Based on farm household data from 450 households collected from three districts in three agroecological zones in the Punjab province of Pakistan, this study examines how farmers perceive climate change and how they adapt their farming in response to perceived changes in climate. The results demonstrate that awareness of climate change is widespread throughout the area, and farm households make adjustments to adapt their agriculture in response to climatic change. Overall 58% of the farm households adapted their farming to climate change. Changing crop varieties, changing planting dates, planting of shade trees and changing fertilizers were the main adaptation methods implemented by farm households in the study area. The results from the binary logistic model reveal that education, farm experience, household size, land area, tenancy status, ownership of a tube well, access to market information, information on weather forecasting and agricultural extension services all influence farmers' choices of adaptation measures. The results also indicate that adaptation to climate change is constrained by several factors such as lack of information, lack of money, resource constraints and shortage of irrigation water in the study area. Findings of the study suggest the need for greater investment in farmer education and improved institutional setup for climate change adaptation to improve farmers' wellbeing.",https://esd.copernicus.org/articles/6/225/2015/esd-6-225-2015.pdf,
440,"Abhinav Sharma, Arpit Jain, Prateek Gupta, V. Chowdary",Machine Learning Applications for Precision Agriculture: A Comprehensive Review,2021,IEEE Access,,https://www.semanticscholar.org/paper/ec9da3b5c896b67a15af062f8bca850526f2e633,,20,2025-03-24 12:23:19,JournalArticle,10.1109/ACCESS.2020.3048415,2169-3536,,9.0,,4843.0,4873.0,440,110.0,110,4,4,"Agriculture plays a vital role in the economic growth of any country. With the increase of population, frequent changes in climatic conditions and limited resources, it becomes a challenging task to fulfil the food requirement of the present population. Precision agriculture also known as smart farming have emerged as an innovative tool to address current challenges in agricultural sustainability. The mechanism that drives this cutting edge technology is machine learning (ML). It gives the machine ability to learn without being explicitly programmed. ML together with IoT (Internet of Things) enabled farm machinery are key components of the next agriculture revolution. In this article, authors present a systematic review of ML applications in the field of agriculture. The areas that are focused are prediction of soil parameters such as organic carbon and moisture content, crop yield prediction, disease and weed detection in crops and species detection. ML with computer vision are reviewed for the classification of a different set of crop images in order to monitor the crop quality and yield assessment. This approach can be integrated for enhanced livestock production by predicting fertility patterns, diagnosing eating disorders, cattle behaviour based on ML models using data collected by collar sensors, etc. Intelligent irrigation which includes drip irrigation and intelligent harvesting techniques are also reviewed that reduces human labour to a great extent. This article demonstrates how knowledge-based agriculture can improve the sustainable productivity and quality of the product.",https://ieeexplore.ieee.org/ielx7/6287639/9312710/09311735.pdf,
324,"P. Jayaraman, Ali Yavari, Dimitrios Georgakopoulos, Ahsan Morshed, A. Zaslavsky",Internet of Things Platform for Smart Farming: Experiences and Lessons Learnt,2016,"Sensors (Basel, Switzerland)",,https://www.semanticscholar.org/paper/1c04bf403243c9ffddfde3a416a65d0b344601ee,,29,2025-03-24 12:23:19,JournalArticle,10.3390/s16111884,1424-8220,,16.0,,,,324,36.0,65,5,9,"Improving farm productivity is essential for increasing farm profitability and meeting the rapidly growing demand for food that is fuelled by rapid population growth across the world. Farm productivity can be increased by understanding and forecasting crop performance in a variety of environmental conditions. Crop recommendation is currently based on data collected in field-based agricultural studies that capture crop performance under a variety of conditions (e.g., soil quality and environmental conditions). However, crop performance data collection is currently slow, as such crop studies are often undertaken in remote and distributed locations, and such data are typically collected manually. Furthermore, the quality of manually collected crop performance data is very low, because it does not take into account earlier conditions that have not been observed by the human operators but is essential to filter out collected data that will lead to invalid conclusions (e.g., solar radiation readings in the afternoon after even a short rain or overcast in the morning are invalid, and should not be used in assessing crop performance). Emerging Internet of Things (IoT) technologies, such as IoT devices (e.g., wireless sensor networks, network-connected weather stations, cameras, and smart phones) can be used to collate vast amount of environmental and crop performance data, ranging from time series data from sensors, to spatial data from cameras, to human observations collected and recorded via mobile smart phone applications. Such data can then be analysed to filter out invalid data and compute personalised crop recommendations for any specific farm. In this paper, we present the design of SmartFarmNet, an IoT-based platform that can automate the collection of environmental, soil, fertilisation, and irrigation data; automatically correlate such data and filter-out invalid data from the perspective of assessing crop performance; and compute crop forecasts and personalised crop recommendations for any particular farm. SmartFarmNet can integrate virtually any IoT device, including commercially available sensors, cameras, weather stations, etc., and store their data in the cloud for performance analysis and recommendations. An evaluation of the SmartFarmNet platform and our experiences and lessons learnt in developing this system concludes the paper. SmartFarmNet is the first and currently largest system in the world (in terms of the number of sensors attached, crops assessed, and users it supports) that provides crop performance analysis and recommendations.",https://www.mdpi.com/1424-8220/16/11/1884/pdf?version=1478784563,
229,"Nawab Khan, R. Ray, Ghulam Raza Sargani, Muhammad Ihtisham, M. Khayyam, Sohaib Ismail",Current Progress and Future Prospects of Agriculture Technology: Gateway to Sustainable Agriculture,2021,Sustainability,,https://www.semanticscholar.org/paper/79227bf73b54c51bc24ad801994f410dd7b36fde,,44,2025-03-24 12:23:19,Review,10.3390/SU13094883,2071-1050,,13.0,,4883.0,,229,57.25,38,6,4,"The agricultural industry is getting more data-centric and requires precise, more advanced data and technologies than before, despite being familiar with agricultural processes. The agriculture industry is being advanced by various information and advanced communication technologies, such as the Internet of Things (IoT). The rapid emergence of these advanced technologies has restructured almost all other industries, as well as advanced agriculture, which has shifted the industry from a statistical approach to a quantitative one. This radical change has shaken existing farming techniques and produced the latest prospects in a series of challenges. This comprehensive review article enlightens the potential of the IoT in the advancement of agriculture and the challenges faced when combining these advanced technologies with conventional agricultural systems. A brief analysis of these advanced technologies with sensors is presented in advanced agricultural applications. Numerous sensors that can be implemented for specific agricultural practices require best management practices (e.g., land preparation, irrigation systems, insect, and disease management). This review includes the integration of all suitable techniques, from sowing to harvesting, packaging, transportation, and advanced technologies available for farmers throughout the cropping system. Besides, this review article highlights the utilization of other tools such as unmanned aerial vehicles (UAVs) for crop monitoring and other beneficiary measures, such as optimizing crop yields. In addition, advanced programs based on the IoT are also discussed. Finally, based on our comprehensive review, we identified advanced prospects regarding the IoT, which are essential tools for sustainable agriculture.",https://www.mdpi.com/2071-1050/13/9/4883/pdf?version=1619689142,
220,J. Timsina,Can Organic Sources of Nutrients Increase Crop Yields to Meet Global Food Demand?,2018,Agronomy,,https://www.semanticscholar.org/paper/8b806dc26be64aa3fb09551e218f272ecbc2d481,,48,2025-03-24 12:23:19,Review,10.3390/AGRONOMY8100214,2073-4395,,,,,,220,31.43,220,1,7,"Meeting global demand of safe and healthy food for the ever-increasing population now and into the future is currently a crucial challenge. Increasing crop production by preserving environment and mitigating climate change should thus be the main goal of today’s agriculture. Conventional farming is characterized by use of high-yielding varieties, irrigation water, chemical fertilizers and synthetic pesticides to increase yields. However, due to either over- or misuse of chemical fertilizers or pesticides in many agro-ecosystems, such farming is often blamed for land degradation and environmental pollution and for adversely affecting the health of humans, plants, animals and aquatic ecosystems. Of all inputs required for increased agricultural production, nutrients are considered to be the most important ones. Organic farming, with use of organic sources of nutrients, is proposed as a sustainable strategy for producing safe, healthy and cheaper food and for restoring soil fertility and mitigating climate change. However, there are several myths and controversies surrounding the use of organic versus inorganic sources of nutrients. The objectives of this paper are: (i) to clarify some of the myths or misconceptions about organic versus inorganic sources of nutrients and (ii) to propose alternative solutions to increase on-farm biomass production for use as organic inputs for improving soil fertility and increasing crop yields. Common myths identified by this review include that organic materials/fertilizers can: (i) supply all required macro- and micro-nutrients for plants; (ii) improve physical, chemical and microbiological properties of soils; (iii) be applied universally on all soils; (iv) always produce quality products; (v) be cheaper and affordable; and (vi) build-up of large amount of soil organic matter. Other related myths are: “legumes can use entire amount of N2 fixed from atmosphere” and “bio-fertilizers increase nutrient content of soil.” Common myths regarding chemical fertilizers are that they: (i) are not easily available and affordable, (ii) degrade land, (iii) pollute environment and (iv) adversely affect health of humans, animals and agro-ecosystems. The review reveals that, except in some cases where higher yields (and higher profits) can be found from organic farming, their yields are generally 20–50% lower than that from conventional farming. The paper demonstrates that considering the current organic sources of nutrients in the developing countries, organic nutrients alone are not enough to increase crop yields to meet global food demand and that nutrients from inorganic and organic sources should preferably be applied at 75:25 ratio. The review identifies a new and alternative concept of Evergreen Agriculture (an extension of Agroforestry System), which has potential to supply organic nutrients in much higher amounts, improve on-farm soil fertility and meet nutrient demand of high-yielding crops, sequester carbon and mitigate greenhouse gas emissions, provide fodder for livestock and fuelwood for farmers and has potential to meet global food demand. Evergreen Agriculture has been widely adapted by tens of millions of farmers in several African countries and the review proposes for evaluation and scaling-up of such technology in Asian and Latin American countries too.",https://www.mdpi.com/2073-4395/8/10/214/pdf?version=1538580409,
217,"S. Maitra, A. Hossain, M. Brestič, M. Skalický, P. Ondrisik, H. I. Gitari, K. Brahmachari, T. Shankar, Preetha Bhadra, Jnana Bharati Palai, J. Jena, U. Bhattacharya, Sarath Kumar Duvvada, Sagar Lalichetti, Masina Sairam",Intercropping—A Low Input Agricultural Strategy for Food and Environmental Security,2021,Agronomy,,https://www.semanticscholar.org/paper/e159dbce057f879dd28074c5cb033f5749350cc7,,51,2025-03-24 12:23:19,Review,10.3390/AGRONOMY11020343,2073-4395,,,,,,217,54.25,22,15,4,"Intensive agriculture is based on the use of high-energy inputs and quality planting materials with assured irrigation, but it has failed to assure agricultural sustainability because of creation of ecological imbalance and degradation of natural resources. On the other hand, intercropping systems, also known as mixed cropping or polyculture, a traditional farming practice with diversified crop cultivation, uses comparatively low inputs and improves the quality of the agro-ecosystem. Intensification of crops can be done spatially and temporally by the adoption of the intercropping system targeting future need. Intercropping ensures multiple benefits like enhancement of yield, environmental security, production sustainability and greater ecosystem services. In intercropping, two or more crop species are grown concurrently as they coexist for a significant part of the crop cycle and interact among themselves and agro-ecosystems. Legumes as component crops in the intercropping system play versatile roles like biological N fixation and soil quality improvement, additional yield output including protein yield, and creation of functional diversity. But growing two or more crops together requires additional care and management for the creation of less competition among the crop species and efficient utilization of natural resources. Research evidence showed beneficial impacts of a properly managed intercropping system in terms of resource utilization and combined yield of crops grown with low-input use. The review highlights the principles and management of an intercropping system and its benefits and usefulness as a low-input agriculture for food and environmental security.",https://www.mdpi.com/2073-4395/11/2/343/pdf?version=1614148243,
