Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
53,"Jun Ho Kim, E. Jung, Chul-Hyun Kim, Hye-jin Youn, H. Kim","Genetic associations of body composition, flexibility and injury risk with ACE, ACTN3 and COL5A1 polymorphisms in Korean ballerinas",2014,Journal of Exercise Nutrition & Biochemistry,,https://www.semanticscholar.org/paper/0460c828e9b45773a7411dd6f7ca9c746e83ce93,,8,2025-03-27 18:25:46,JournalArticle,10.5717/jenb.2014.18.2.205,2233-6834,,18.0,,205.0,214.0,53,4.82,11,5,11,"[Purpose] The purpose of this study was to exam the association of body composition, flexibility, and injury risk to genetic polymorphisms including ACE ID, ACTN3 RX, and COL5A1 polymorphisms in ballet dancers in Korea. [Methods] For the purpose of this study, elite ballerinas (n = 97) and normal female adults (n = 203) aged 18 to 39 were recruited and these participants were tested for body weight, height, body fat, fat free mass, flexibility, injury risks on the joints and gene polymorphisms (ACE, ACTN3, COL5A1 polymorphism). [Results] As results, the ACE DD genotype in ballerinas was associated with higher body fat and percentage of body fat than the ACE II and ID genotypes (p < 0.05). In the study on the ACTN3 polymorphism and ballerinas, the XX genotype in ballerinas had lower body weight and lower fat-free mass than the RR and RX genotype (p < 0.005). Also, the means of sit and reach test for flexibility was lower in the ACTN3 XX genotype of ballerinas than the RR and RX genotype of ballerinas (p < 0.05). Among the sports injuries, the ankle injury of the XX-genotyped ballerinas was in significantly more prevalence than the RR and XX-genotyped ballerinas (p < 0.05). According to the odd ratio analysis, XX-genotyped ballerinas have the injury risk on the ankle about 4.7 (95% CI: 1.6~13.4, p < 0.05) times more than the RR and RX-genotyped ballerinas. Meanwhile, the COL5A1 polymorphism in ballerinas has no association with any factors including flexibility and injury risks. [Conclusion] In conclusion, ACE polymorphism and ACTN3 polymorphism were associated with ballerinas' performance capacity; COL5A1 was not associated with any factors of performance of Ballerinas. The results suggested that the ACE DD genotype is associated with high body fat, the ACTN3 XX genotype is associated with low fat-free mass, low flexibility, and higher risk of ankle-joint injury.",https://www.e-pan.org/upload/pdf/jenb-18-2-205.pdf,
20,"Mia Perić, N. Zenić, D. Sekulić, M. Kondrič, P. Zaletel","Disordered eating, amenorrhea, and substance use and misuse among professional ballet dancers: Preliminary analysis.",2016,Medycyna pracy,,https://www.semanticscholar.org/paper/7f86f50c790b573e19ccb26a827a9c662fbb8d41,,23,2025-03-27 18:25:46,JournalArticle,10.13075/mp.5893.00294,0465-5893,,67.0,1.0,21.0,7.0,20,2.22,4,5,9,"BACKGROUND Substance use and misuse (SUM), eating disorders (ED) and consequent amenorrhea (AM) occur frequently in professional ballet dancing. The objective of this study has been to explore the prevalence and association between ED, AM and SUM in ballet. MATERIAL AND METHODS The sample comprised 21 ballet dancers, 23.1±4.5 years old, members of the professional National Ballet Ensemble from Croatia. Variables were collected by questionnaires examining SUM, occurrence of amenorrhea, and corresponding ballet-specific and socio-demographic factors (Questionnaire on Substance Use - QSU) and the level of ED (Brief Eating Disorder in Athletes Questionnaire - BEDA-Q). RESULTS Smoking is prevalent in 40% of dancers (25% smoke on a daily basis), 36% often use analgesics, and 25% engage in binge drinking at least once a month. Smoking and binge drinking are less frequent in ballerinas with a higher academic level (r = 0.60 and r = 0.54 for binge drinking and smoking, respectively; p < 0.05). Alcohol drinking is higher among dancers who consume analgesics more often and those with a higher BEDA-Q score (r = 0.53 and r = 0.54 for analgesics and BEDA-Q, respectively; p < 0.05). Amenorrhea is more prevalent among those dancers with a higher BEDA-Q score. Women who consume nutritional supplements are less likely to use analgesics (Mann Whitney U test = 2.11; p < 0.05). CONCLUSIONS Efforts seeking to prevent ED in ballet should target dancers who consume alcohol to a greater extent. Future studies should specifically explore the less frequent consumption of analgesics among dancers who consume nutritional supplements.",http://medpr.imp.lodz.pl/pdf-60718-4167?filename=Disordered eating_.pdf,
16,"L. Borges, J. Bortolon, V. Santos, N. R. de Moura, A. Dermargos, M. F. Cury-Boaventura, R. Gorjão, T. Pithon-Curi, E. Hatanaka",Chronic Inflammation and Neutrophil Activation as Possible Causes of Joint Diseases in Ballet Dancers,2014,Mediators of Inflammation,,https://www.semanticscholar.org/paper/4343ac177c3bb3c4c3ef45488d0fbf7c40378d90,,32,2025-03-27 18:25:46,JournalArticle,10.1155/2014/846021,0962-9351,,2014.0,,,,16,1.45,2,9,11,"Herein, we investigated the effects of a ballet class on the kinetic profiles of creatine kinase (CK) and lactate dehydrogenase (LDH) activities, cytokines, complement component 3 (C3), and the concentrations of immunoglobulin (Ig), IgA and IgM, in ballerinas. We also verified neutrophil death and ROS release. Blood samples were taken from 13 dancers before, immediately after, and 18 hours after a ballet class. The ballet class increased the plasma activities of CK-total (2.0-fold) immediately after class, while the activities of CK-cardiac muscle (1.0-fold) and LDH (3.0-fold) were observed to increase 18 hours after the class. Levels of the TNF-α, IL-1β, IgG, and IgA were not affected under the study conditions. The exercise was found to induce neutrophil apoptosis (6.0-fold) 18 hours after the ballet class. Additionally, immediately after the ballet class, the neutrophils from the ballerinas were found to be less responsive to PMA stimulus. Conclusion. Ballet class was found to result in inflammation in dancers. The inflammation caused by the ballet class remained for 18 hours after the exercise. These findings are important in preventing the development of chronic lesions that are commonly observed in dancers, such as those with arthritis and synovitis.",https://downloads.hindawi.com/journals/mi/2014/846021.pdf,
14,"Michelle Carreirão Gonçalves, Fabiana Cristina Turelli, A. Vaz","CORPOS, DORES, SUBJETIVAÇÕES: NOTAS DE PESQUISA NO ESPORTE, NA LUTA, NO BALÉ",2012,Movimento,,https://www.semanticscholar.org/paper/70ecfa46584b6b086e16473ecfe594dd6d584c49,,41,2025-03-27 18:25:46,JournalArticle,10.22456/1982-8918.27166,,,18.0,,141.0,158.0,14,1.08,5,3,13,"This paper presents some results of a research whose aim was to investigate subjective dispositives by athletic athletes, karate fighters and ballerinas. Those dispositives are marks of the relations between body and training through techniques, routines, rituals, representations and discourses elaborated by the subjects. Ethnographical practices were made in a dance school, athletics’ team, in a karate group. The results show the intersection between technique, pain, suffering and project are parts of an axis of subjective conformation of athletes, fighters and ballerinas.",https://seer.ufrgs.br/Movimento/article/download/27166/21143,
8,"Amy M. Belfi, Kelly Jakubowski",Music and Autobiographical Memory,2021,Music & Science,,https://www.semanticscholar.org/paper/13ef1eca117f1375d41cf3e439eb52869d2f6eb0,,67,2025-03-27 18:25:46,JournalArticle,10.1177/20592043211047123,2059-2043,,4.0,,,,8,2.0,4,2,4,"Listening to music can bring back vivid memories from one’s past. In recent years there has been an increase in both scientific and public interest in the ability of music to evoke vivid, emotional, and rich autobiographical memories. For example, several “viral” videos have taken the internet by storm, illustrating powerful instances of music evoking memories in individuals with dementia – perhaps the most recent example is a clip of a former ballerina with Alzheimer’s disease who recalls her dance movements at the sound of “Swan Lake.” Current scientific work in this area informs the mechanisms by which music induces emotions and provides critical evidence for assessing whether music is a uniquely effective memory cue. Research on music and autobiographical memory is also of practical relevance by informing the development of music-based interventions, for example, for people with memory disorders. The aim of this Special Collection on Music and Autobiographical Memory is to bring together contributions in this growing area of research from a diverse array of scholars and interdisciplinary perspectives. The contributions to this Special Collection investigate this topic from a variety of angles: across the lifespan in both experimental and everyday settings, in healthy and clinical populations, and using a range of quantitative, qualitative, and theoretical methodologies. The collection was also prompted by two recent and relevant symposia: a symposium on music-evoked autobiographical memories at the 2019 Society for Music Perception and Cognition conference co-chaired by the Guest Editors (Drs Belfi & Jakubowski) and Music & Lifetime Memories: An Interdisciplinary Conference (directed by Dr Jakubowski at Durham University in November 2019). Several articles within this collection grew directly out of these symposia, though the collection also covers a wider range of perspectives from researchers across the globe with expertise in music, memory, identity, emotion, and ageing. The bulk of psychological research on this topic has been conducted within the last several years, although initial investigations span the past few decades. One of the earliest explorations of music and autobiographical memory found that participants were frequently able to recall songs that evoked specific memories, and their memories tended to be of positive emotional experiences (Baumgartner, 1992). Other early work established that popular music triggers autobiographical memories of general events for both younger and older adults (Schulkind et al., 1999). With the proliferation of neuroimaging techniques, researchers later began investigating the neural underpinnings of music and autobiographical memory, suggesting a role of the medial prefrontal cortex (Ford et al., 2011; Janata, 2009). A more recent trend in the field has been to characterise differences between autobiographical memories evoked by music and other sensory cues, including pictures (Baird et al., 2018; Belfi et al., 2016, 2020), words (Zator & Katz, 2017), and television shows (Jakubowski et al., 2021). The set of articles featured in this special collection adds to this developing literature in several important ways. Below, we highlight four central themes that emerged across the body of work in this collection: youth, ageing, and reminiscence bumps; music-evoked memories in special populations; identity, relationships, and emotions; and musical qualities. For each theme we provide background context of prior work done in this area, followed by summaries of the featured papers and their key contributions to the growing field of music and autobiographical memory.",https://journals.sagepub.com/doi/pdf/10.1177/20592043211047123,
7,"Kátia Silva Souza dos Anjos, R. Oliveira, Marilia Velardi",A construção do corpo ideal no balé clássico: uma investigação fenomenológica,2015,,,https://www.semanticscholar.org/paper/556b472e67d99f949cc9f23ef7cd5e5268b6b24f,,75,2025-03-27 18:25:46,Review,10.1590/1807-55092015000300439,,,29.0,,439.0,452.0,7,0.7,2,3,10,"The aim of this study was to identify and understand by perspective of ballerinas surveyed the ideal body demanded by the practice of ballet. Therefore, we chose a epistemological orientation supported by the phenomenology of Edmund Husserl and authors in tune with phenomenological approach. As a research technique were performed semi-structured interviews in-depth. What is common in the speech of the dancers is a reference to an ideal body that is centered in the productions made by major ballet companies. In these perceptions, the ideal and desired body of classical ballet can be both innate to the person how constructed and transformed with much effort and dedication.",http://www.scielo.br/pdf/rbefe/v29n3/1981-4690-rbefe-29-03-00439.pdf,
7,"Heloisa C. Santo André, A. Pinto, B. Mazzolani, F. Smaira, M. D. Ulian, B. Gualano, F. Benatti",“Can A Ballerina Eat Ice Cream?”: A Mixed-Method Study on Eating Attitudes and Body Image in Female Ballet Dancers,2022,Frontiers in Nutrition,,https://www.semanticscholar.org/paper/101b948b9110468113a64c50f5d4396cca993357,,77,2025-03-27 18:25:46,JournalArticle,10.3389/fnut.2021.665654,2296-861X,,8.0,,,,7,2.33,1,7,3,"Aim: We aimed to explore how a group of classical ballet dancers perceived their eating attitudes and their bodies, with special attention to the potential presence of eating disorders (EDs) symptoms and body image (dis)satisfaction. Methods: A cross-sectional, mixed-method study was conducted on fourteen trained classical ballet dancers (18–30 years old). Their experiences, perceptions, and feelings regarding eating attitudes and body image concerning classical ballet were acquired through qualitative focus groups. The presence of EDs symptoms and perception and (dis)satisfaction with body image was analyzed quantitatively through self-report questionnaires. Results: Participants reported concerning eating attitudes during the focus groups, such as the regular practice of several restrictive popular diets, constant restriction of foods considered “heavy” or “fatty,” meal skipping and ignoring signs of hunger, presence of overeating episodes due to stress and anxiety, feeling guilty about breaking their usual diet, classifying foods as “good” and “bad” or “lean” and “fat,” and excluding some of those foods from their usual diets. These reports were partially reflected in the questionnaires, with 50% of the ballerinas showing bulimic symptoms indicative of an unusual eating pattern (only two of them with a significant risk index), 7.1% showing symptoms of moderate binge eating, and 14.3% symptoms of EDs in general. Additionally, when considering their bodies in the context of everyday life, participants were satisfied; however, in the “classical ballet” context, they reported feeling dissatisfied with their shape. These findings were in line with results from the Stunkard's Scale, which revealed that 50% of the sample was dissatisfied with their current body shape and 57.1% indicated that their desired body shape was a leaner figure than one they considered healthy. Conclusions: The constant practice of restrictive diets and other weight-loss strategies to achieve a leaner body were associated with symptoms of EDs and body dissatisfaction in this sample. Importantly, the questionnaires used seemed to underestimate the presence of a disordered eating pattern reported by the participants during focus groups. These data could help to inform psychological and nutritional strategies aimed at improving performance, physical and psychological well-being, and quality of life of ballet dancers.",https://www.frontiersin.org/articles/10.3389/fnut.2021.665654/pdf,
4,L. Tomé,“Music in the Blood”: Performance and Discourse of Musicality in Cuban Ballet Aesthetics,2013,Dance Chronicle,,https://www.semanticscholar.org/paper/497c666a796dd046809fe2a9aba65940fe969e6c,,99,2025-03-27 18:25:46,JournalArticle,10.1080/01472526.2013.792325,,,36.0,,218.0,242.0,4,0.33,4,1,12,"Alicia Alonso contended that the musicality of Cuban ballet dancers contributed to a distinctive national style in their performance of European classics such as Giselle and Swan Lake. A highly developed sense of musicality distinguished Alonso's own dancing. For the ballerina, this was more than just an element of her individual style: it was an expression of the Cuban cultural environment and a common feature among ballet dancers from that island. In addition to elucidating the physical manifestations of musicality in Alonso's dancing, this article examines how the ballerina's frequent references to music in connection to both her individual identity and the Cuban ballet aesthetics fit into a national discourse of self-representation that deems Cubans an exceptionally musical people. This analysis also problematizes the Cuban ballet's brand of musicality by underscoring the tension between its possible explanations—from being the result of the dancers' socialization into a rich Afro-Caribbean musical culture to being a stylistic element that Alonso developed through her training with foreign teachers and, in turn, transmitted to her Cuban disciples.",https://scholarworks.smith.edu/cgi/viewcontent.cgi?article=1004&context=dan_facpubs,
3,Portnova Tatiana Vasilievna,"""The Dying Swan"" by A. Pavlova: Choreography and Iconography of the Image",2019,"Space and Culture, India",,https://www.semanticscholar.org/paper/23b71666fdeb43ca21dbb701aa8bebc6e6aa1e53,,115,2025-03-27 18:25:46,JournalArticle,10.20896/SACI.V6I5.368,2052-8396,,,,,,3,0.5,3,1,6,"In the article, an approach to the analysis of the artwork that represented the image of the great ballerina, A. Pavlova in the choreographic miniature The Dying Swan was implemented for the first time. The article contains the solution of the problem of understanding and comprehension of all artistic components of visual characteristics of the created works, which can be used in reconstructions and modern interpretations of a choreographic performance. The main iconographic motives of The Dying Swan by different artists have been illustrated on the materials of fine art, and their comparative analysis has been given. The author aims at tracing the way the idea and mechanisms of interpretation of A. Pavlovaâ€™s role are transformed into the structure of a still image. Based on the definitions considered, specific author's solutions are analysed, and their ideological-artistic originality (features of composition construction, mise en scene lighting plot of the performance, acting nuances) is revealed about the stage representation and perception of classical choreography. In the article, a significant place is given to the work of sculpture created by A. Pavlova on a topic of The Dying Swan, which has been scarcely examined, in which the specificity of the ballerinaâ€™s performing art has been interpreted as a secondary relatively independent actor's activity and her creativity has been revealed in the format of the figurative interpretation as the individual performing interpretation of a stage of primary (author's) scenic activities. The article concludes that the presented sculptural-plastic interpretation of A. Pavlova's dance as a performer of the act is further superimposed on the interpretation of the choreographic image and manifested in the expressiveness of the movements set by the ballet-master, resulting in a new semantic variant based on the previous one.",http://spaceandculture.in/index.php/spaceandculture/article/download/368/280,
3,"E. Dzwiza-Ohlsen, G. Kempermann",The embodied mind in motion: a neuroscientific and philosophical perspective on prevention and therapy of dementia,2023,Frontiers in Psychology,,https://www.semanticscholar.org/paper/1bc23851cebdcae1745d1036e226ef4882128d85,,116,2025-03-27 18:25:46,Review,10.3389/fpsyg.2023.1174424,1664-1078,,14.0,,,,3,1.5,2,2,2,"The embodied mind in motion is a concept in which health and well-being, prevention and therapy, as well as lifestyle and habits meet. The mind changes profoundly in the course of dementias, affecting daily living and resulting in reduced quality of life. Interdisciplinary approaches are required for a holistic understanding of how the mind is affected by dementia. We here explore what such a holistic theory of dementia might look like and propose the idea of “embodied mind in motion”. The paradigm is biopsychosocial or biocultural, the theoretical anchor point is the lifeworld, and the guiding concept is “embodiment,” as body and mind are constantly in motion. Physical activity is, hence, central for the experience of health and well-being, beyond being “exercise” and “health behavior”. We discuss the embodied mind in motion referring to phenomenology, enactivism and (philosophical) anthropology. In our view, habits are embodied long-term memories and a philosophical equivalent to lifestyle. They unfold the meaningfulness of moving the body, complementing the objectifiable benefits of physical exercise. Empirical studies on “holistic activities” like hiking, yoga, music and dance illustrate improved integration into everyday life. Their meaningfulness enhances compliance and increases the preventive and even therapeutic potential. A crucial factor for this is the emotional dimension of lifestyle, exemplified by the virally popularized performance of “Swan Lake” by wheel-chair bound ex-ballerina Marta Cinta González Saldaña, suffering from Alzheimer’s disease. A number of epistemological and ontological consequences anchor “embodied movement” as a valuable principle for dementia research.",https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1174424/pdf,
